Sample,Ph,SOC,N,LAT,Altitude,NDVI,AI,K
A24,0.086549586,6.187000225,0.517799977,2.5966,427,0.111134775,0.029313878,0.115665719
A25,0.086549586,6.187000225,0.517799977,2.5966,427,0.111134775,0.029313878,0.036970167
A26,0.086549586,6.187000225,0.517799977,2.5966,427,0.111134775,0.029313878,0.140528839
A27,0.086549586,6.187000225,0.517799977,2.5966,427,0.111134775,0.029313878,0.108013691
A28,0.252380682,23.22608764,1.299000037,4.4891,1944,0.153082609,0.229835767,0.104896587
A29,0.086549586,6.187000225,0.517799977,2.5966,427,0.111134775,0.029313878,0.12340823
A30,0.086549586,6.187000225,0.517799977,2.5966,427,0.111134775,0.029313878,0.09657213
A31,0.086549586,6.187000225,0.517799977,2.5966,427,0.111134775,0.029313878,0.120416054
A32,0.086549586,6.187000225,0.517799977,2.5966,427,0.111134775,0.029313878,0.116186522
A33,0.252380682,23.22608764,1.299000037,4.4891,1944,0.153082609,0.229835767,0.165785651
A34,0.252380682,23.22608764,1.299000037,4.4891,1944,0.153082609,0.229835767,0.093892283
A35,0.252380682,23.22608764,1.299000037,4.4891,1944,0.153082609,0.229835767,0.050395767
A36,0.252380682,23.22608764,1.299000037,4.4891,1944,0.153082609,0.229835767,0.02831608
A37,0.252380682,23.22608764,1.299000037,4.4891,1944,0.153082609,0.229835767,0.056201888
A38,0.252380682,23.22608764,1.299000037,4.4891,1944,0.153082609,0.229835767,0.045276792
A39,0.252380682,23.22608764,1.299000037,4.4891,1944,0.153082609,0.229835767,0.048342995
A40,0.252380682,23.22608764,1.299000037,4.4891,1944,0.153082609,0.229835767,0.065692333
A41,0.05231405,4.25620006,0.018599973,4.683,190,0.028860867,0.109275134,0.131468426
A42,0.05231405,4.25620006,0.018599973,4.683,190,0.028860867,0.109275134,0.092644484
A43,0.05231405,4.25620006,0.018599973,4.683,190,0.028860867,0.109275134,0.126036457
A44,0.110433884,5.512000154,0.580999992,2.583,431,0.124378256,0.032291389,0.1377629
A45,0.110433884,5.512000154,0.580999992,2.583,431,0.124378256,0.032291389,0.082537106
A46,0.110433884,5.512000154,0.580999992,2.583,431,0.124378256,0.032291389,0.108684741
A47,0.171431302,36.77016487,1.743598395,5.8163,1210,0.121313065,0.243615471,0.239139039
A48,0.171431302,36.77016487,1.743598395,5.8163,1210,0.121313065,0.243615471,0.277676697
A49,0.171431302,36.77016487,1.743598395,5.8163,1210,0.121313065,0.243615471,0.13323436
A50,0.234204546,42.24841164,2.145198492,4.5997,1540,0.154726088,0.281483376,0.306217555
A51,0.234204546,42.24841164,2.145198492,4.5997,1540,0.154726088,0.281483376,0.315908198
A52,0.234204546,42.24841164,2.145198492,4.5997,1540,0.154726088,0.281483376,0.197110451
A53,2.063078513,23.72787983,1.419399948,10.463,942,0.347556532,0.9314555,0.442767229
A54,2.063078513,23.72787983,1.419399948,10.463,942,0.347556532,0.9314555,0.055597877
A55,2.063078513,23.72787983,1.419399948,10.463,942,0.347556532,0.9314555,0.062448231
A56,2.063078513,23.72787983,1.419399948,10.463,942,0.347556532,0.9314555,0.051522334
A57,0.005681819,0.41883966,0.071880041,0.0041,0,0.021739125,0.000135702,0.032822722
A58,0.005681819,0.41883966,0.071880041,0.0041,0,0.021739125,0.000135702,0.055421531
A59,0.005681819,0.41883966,0.071880041,0.0041,0,0.021739125,0.000135702,0.072530848
A60,0.005681819,0.41883966,0.071880041,0.0041,0,0.021739125,0.000135702,0.079883827
A61,0.005681819,0.41883966,0.071880041,0.0041,0,0.021739125,0.000135702,0.038335924
A62,0.005681819,0.41883966,0.071880041,0.0041,0,0.021739125,0.000135702,0.040568127
A63,0.005681819,0.41883966,0.071880041,0.0041,0,0.021739125,0.000135702,0.039856085
A64,0.005681819,0.41883966,0.071880041,0.0041,0,0.021739125,0.000135702,0.113026525
A65,0.005681819,0.41883966,0.071880041,0.0041,0,0.021739125,0.000135702,0.043255705
A66,0.1031625,3.677868599,0.72854221,1.944217,449,0.160599992,0.084583112,0.02554715
A67,0.092911364,1.07990897,0.138124733,2.020762,733,0.131408691,0.069916955,0.096852905
A68,0.553328995,8.97998415,0.214604024,2.177467,1734,0.045343473,0.013679428,0.016725384
A69,0.577375,15.85122018,0.49168905,2.306518,2126,0.064234778,0.040536239,0.065380477
A70,0.736452273,24.24918125,1.116419533,2.419418,2790,0.091147825,0.115799112,0.132758772
A71,0.474473648,7.61834275,0.121869293,2.473538,1964,0.089604348,0.043173129,0.077814689
A72,0.678253757,14.91324101,0.360840004,2.66982,1981,0.04858695,0.088052936,0.117815265
A73,0.551288218,50.74828954,1.838347943,3.349107,1912,0.122799993,0.194803914,0.141427671
A74,0.460335313,34.02927073,1.569000044,3.421278,1806,0.0709261,0.199156186,0.122284609
A75,0.437855144,23.05708424,1.198513392,3.493763,1702,0.049891323,0.201539125,0.062083763
A76,0.642574311,44.12970394,1.680573316,3.550928,1649,0.056539148,0.19973689,0.292244298
A77,0.523329684,25.32103941,1.117428055,3.560142,1398,0.023652196,0.179003369,0.266931176
A78,0.527392481,38.35854635,1.534003994,3.700917,1605,0.098382622,0.206159858,0.222057946
A79,1.250080062,59.45539986,2.218600139,8.133,2154,0.254460871,0.569991871,0.314151632
A80,1.250080062,59.45539986,2.218600139,8.133,2154,0.254460871,0.569991871,0.254426274
A81,1.250080062,59.45539986,2.218600139,8.133,2154,0.254460871,0.569991871,0.412148054
A82,1.250080062,59.45539986,2.218600139,8.133,2154,0.254460871,0.569991871,0.310222657
A83,1.250080062,59.45539986,2.218600139,8.133,2154,0.254460871,0.569991871,0.270844267
A84,1.250080062,59.45539986,2.218600139,8.133,2154,0.254460871,0.569991871,0.388850007
A85,1.250080062,59.45539986,2.218600139,8.133,2154,0.254460871,0.569991871,0.012464688
A86,1.250080062,59.45539986,2.218600139,8.133,2154,0.254460871,0.569991871,0.064494621
A87,1.250080062,59.45539986,2.218600139,8.133,2154,0.254460871,0.569991871,0.060598115
A88,1.250080062,59.45539986,2.218600139,8.133,2154,0.254460871,0.569991871,0.329129348
A89,1.250080062,59.45539986,2.218600139,8.133,2154,0.254460871,0.569991871,0.360773679
A90,1.250080062,59.45539986,2.218600139,8.133,2154,0.254460871,0.569991871,0.359633231
A91,1.250080062,59.45539986,2.218600139,8.133,2154,0.254460871,0.569991871,0.352962772
A92,1.250080062,59.45539986,2.218600139,8.133,2154,0.254460871,0.569991871,0.3142437
A93,1.250080062,59.45539986,2.218600139,8.133,2154,0.254460871,0.569991871,0.307598063
A94,1.250080062,59.45539986,2.218600139,8.133,2154,0.254460871,0.569991871,0.277391309
A95,2.801420455,81.94800201,5.769000091,11.953,2937,0.144243471,0.970735536,0.478213949
A96,2.801420455,81.94800201,5.769000091,11.953,2937,0.144243471,0.970735536,0.264646653
A97,2.801420455,81.94800201,5.769000091,11.953,2937,0.144243471,0.970735536,0.3244086
A98,2.801420455,81.94800201,5.769000091,11.953,2937,0.144243471,0.970735536,0.314641841
A99,2.801420455,81.94800201,5.769000091,11.953,2937,0.144243471,0.970735536,0.34316073
A100,2.801420455,81.94800201,5.769000091,11.953,2937,0.144243471,0.970735536,0.271025736
A101,2.801420455,81.94800201,5.769000091,11.953,2937,0.144243471,0.970735536,0.350689099
A102,2.801420455,81.94800201,5.769000091,11.953,2937,0.144243471,0.970735536,0.318875539
A103,2.801420455,81.94800201,5.769000091,11.953,2937,0.144243471,0.970735536,0.275400887
A104,2.801420455,81.94800201,5.769000091,11.953,2937,0.144243471,0.970735536,0.321119734
A105,2.801420455,81.94800201,5.769000091,11.953,2937,0.144243471,0.970735536,0.241106422
A106,2.801420455,81.94800201,5.769000091,11.953,2937,0.144243471,0.970735536,0.407912471
A107,2.801420455,81.94800201,5.769000091,11.953,2937,0.144243471,0.970735536,0.332343544
A108,2.801420455,81.94800201,5.769000091,11.953,2937,0.144243471,0.970735536,0.418741394
A109,2.801420455,81.94800201,5.769000091,11.953,2937,0.144243471,0.970735536,0.3588282
A110,2.801420455,81.94800201,5.769000091,11.953,2937,0.144243471,0.970735536,0.376351936
A111,2.801420455,81.94800201,5.769000091,11.953,2937,0.144243471,0.970735536,0.333117275
A112,2.801420455,81.94800201,5.769000091,11.953,2937,0.144243471,0.970735536,0.300270676
A113,2.801420455,81.94800201,5.769000091,11.953,2937,0.144243471,0.970735536,0.385558718
A114,2.801420455,81.94800201,5.769000091,11.953,2937,0.144243471,0.970735536,0.309680239
A115,2.801420455,81.94800201,5.769000091,11.953,2937,0.144243471,0.970735536,0.485938764
A116,2.801420455,81.94800201,5.769000091,11.953,2937,0.144243471,0.970735536,0.005837071
A117,2.801420455,81.94800201,5.769000091,11.953,2937,0.144243471,0.970735536,0.01108497
A118,2.801420455,81.94800201,5.769000091,11.953,2937,0.144243471,0.970735536,0.074642898
A119,0.109090909,4.313000107,0.580999992,4.083,145,0.001191303,0.06234789,0.015721045
A120,0.109090909,4.313000107,0.580999992,4.083,145,0.001191303,0.06234789,0.023437055
A121,0.109090909,4.313000107,0.580999992,4.083,145,0.001191303,0.06234789,0.027786291
A122,0.109090909,4.313000107,0.580999992,4.083,145,0.001191303,0.06234789,0.02157741
A123,0.109090909,4.313000107,0.580999992,4.083,145,0.001191303,0.06234789,0.047792437
A124,1.904289257,61.88699564,3.79552971,13.1002,1107,0.332260847,0.467326037,0.041512386
A125,1.904289257,61.88699564,3.79552971,13.1002,1107,0.332260847,0.467326037,0.019652847
A126,1.904289257,61.88699564,3.79552971,13.1002,1107,0.332260847,0.467326037,0.048471064
A127,1.904289257,61.88699564,3.79552971,13.1002,1107,0.332260847,0.467326037,0.068576537
A128,1.904289257,61.88699564,3.79552971,13.1002,1107,0.332260847,0.467326037,0.016361277
A129,1.904289257,61.88699564,3.79552971,13.1002,1107,0.332260847,0.467326037,0.009883184
A130,1.904289257,61.88699564,3.79552971,13.1002,1107,0.332260847,0.467326037,0.050250366
A131,1.904289257,61.88699564,3.79552971,13.1002,1107,0.332260847,0.467326037,0.039828363
A132,1.904289257,61.88699564,3.79552971,13.1002,1107,0.332260847,0.467326037,0.039034472
A133,1.904289257,61.88699564,3.79552971,13.1002,1107,0.332260847,0.467326037,0.042979803
A134,0.006022728,0.44640125,0.074875238,0.0044,0,0.041021734,0.000137796,0.040238747
A135,0.006022728,0.44640125,0.074875238,0.0044,0,0.041021734,0.000137796,0.007847986
A136,0.006022728,0.44640125,0.074875238,0.0044,0,0.041021734,0.000137796,0.003289937
A137,0.006022728,0.44640125,0.074875238,0.0044,0,0.041021734,0.000137796,0.005698477
A138,0.136583162,18.33500013,0.599000015,4.868,1866,0.021386951,0.213183647,0.007010412
A139,0.136583162,18.33500013,0.599000015,4.868,1866,0.021386951,0.213183647,0.012379903
A140,0.136583162,18.33500013,0.599000015,4.868,1866,0.021386951,0.213183647,0.005540652
A141,0.136583162,18.33500013,0.599000015,4.868,1866,0.021386951,0.213183647,0.006738753
A142,0.136583162,18.33500013,0.599000015,4.868,1866,0.021386951,0.213183647,0.005522382
A143,0.136583162,18.33500013,0.599000015,4.868,1866,0.021386951,0.213183647,0.004225322
A144,0.136583162,18.33500013,0.599000015,4.868,1866,0.021386951,0.213183647,0.160776689
A145,0.136583162,18.33500013,0.599000015,4.868,1866,0.021386951,0.213183647,0.16817529
A146,0.136583162,18.33500013,0.599000015,4.868,1866,0.021386951,0.213183647,0.18262448
A147,0.642458678,19.91599984,2.587999897,0.647,28,0.105017394,0.198467467,0.072707814
A148,0.642458678,19.91599984,2.587999897,0.647,28,0.105017394,0.198467467,0.088824125
A149,0.642458678,19.91599984,2.587999897,0.647,28,0.105017394,0.198467467,0.027091484
A150,0.2875,13.11299997,1.269000091,2.442,403,0.004413054,0.057825747,0.026620098
A151,0.2875,13.11299997,1.269000091,2.442,403,0.004413054,0.057825747,0.017499126
A152,0.2875,13.11299997,1.269000091,2.442,403,0.004413054,0.057825747,0.038107368
A153,0.2875,13.11299997,1.269000091,2.442,403,0.004413054,0.057825747,0.058720996
A154,0.2875,13.11299997,1.269000091,2.442,403,0.004413054,0.057825747,0.024546795
A155,0.2875,13.11299997,1.269000091,2.442,403,0.004413054,0.057825747,0.256171831
A156,0.2875,13.11299997,1.269000091,2.442,403,0.004413054,0.057825747,0.269726969
A157,0.2875,13.11299997,1.269000091,2.442,403,0.004413054,0.057825747,0.280795846
A158,0.247659091,9.9570444,1.056049625,5.6491,1767,0.032760888,0.133084409,0.273566307
A159,0.247659091,9.9570444,1.056049625,5.6491,1767,0.032760888,0.133084409,0.048566935
A160,0.247659091,9.9570444,1.056049625,5.6491,1767,0.032760888,0.133084409,0.04753792
A161,0.247659091,9.9570444,1.056049625,5.6491,1767,0.032760888,0.133084409,0.051500117
A162,0.301136364,13.53151975,1.158999958,2.372,330,0.005321741,0.061113154,0.008622213
A163,0.301136364,13.53151975,1.158999958,2.372,330,0.005321741,0.061113154,0.070486224
A164,0.301136364,13.53151975,1.158999958,2.372,330,0.005321741,0.061113154,0.212111154
A165,0.301136364,13.53151975,1.158999958,2.372,330,0.005321741,0.061113154,0.22284348
A166,0.301136364,13.53151975,1.158999958,2.372,330,0.005321741,0.061113154,0.234445795
A167,0.301136364,13.53151975,1.158999958,2.372,330,0.005321741,0.061113154,0.282613642
A168,0.113677945,4.43988881,2.562363216,4.3868,1308,0.106917411,0.219126816,0.080794542
A169,0.113677945,4.43988881,2.562363216,4.3868,1308,0.106917411,0.219126816,0.065308631
A170,0.113677945,4.43988881,2.562363216,4.3868,1308,0.106917411,0.219126816,0.124953583
A171,1.367148761,64.82199683,3.27000009,8.163,2011,0.26052174,0.531747534,0.196330852
A172,1.367148761,64.82199683,3.27000009,8.163,2011,0.26052174,0.531747534,0.072607636
A173,1.367148761,64.82199683,3.27000009,8.163,2011,0.26052174,0.531747534,0.132330453
A174,1.367148761,64.82199683,3.27000009,8.163,2011,0.26052174,0.531747534,0.076486935
A175,1.367148761,64.82199683,3.27000009,8.163,2011,0.26052174,0.531747534,0.113152253
A176,1.367148761,64.82199683,3.27000009,8.163,2011,0.26052174,0.531747534,0.112173341
A177,1.367148761,64.82199683,3.27000009,8.163,2011,0.26052174,0.531747534,0.0615065
A178,1.367148761,64.82199683,3.27000009,8.163,2011,0.26052174,0.531747534,0.110222053
A179,1.367148761,64.82199683,3.27000009,8.163,2011,0.26052174,0.531747534,0.120607459
A180,1.367148761,64.82199683,3.27000009,8.163,2011,0.26052174,0.531747534,0.134144635
A181,1.367148761,64.82199683,3.27000009,8.163,2011,0.26052174,0.531747534,0.095517981
A182,1.367148761,64.82199683,3.27000009,8.163,2011,0.26052174,0.531747534,0.084122769
A183,1.367148761,64.82199683,3.27000009,8.163,2011,0.26052174,0.531747534,0.088018059
A184,0.867596204,32.68704678,2.153192126,6.9021,2174,0.164182604,0.413045401,0.091007338
A185,0.867596204,32.68704678,2.153192126,6.9021,2174,0.164182604,0.413045401,0.05917278
A186,0.867596204,32.68704678,2.153192126,6.9021,2174,0.164182604,0.413045401,0.247785455
A187,0.867596204,32.68704678,2.153192126,6.9021,2174,0.164182604,0.413045401,0.278598735
A188,0.867596204,32.68704678,2.153192126,6.9021,2174,0.164182604,0.413045401,0.248048753
A189,0.867596204,32.68704678,2.153192126,6.9021,2174,0.164182604,0.413045401,0.094310636
A190,0.867596204,32.68704678,2.153192126,6.9021,2174,0.164182604,0.413045401,0.184434555
A191,0.867596204,32.68704678,2.153192126,6.9021,2174,0.164182604,0.413045401,0.1341833
A192,0.867596204,32.68704678,2.153192126,6.9021,2174,0.164182604,0.413045401,0.054326695
A193,0.867596204,32.68704678,2.153192126,6.9021,2174,0.164182604,0.413045401,0.066752989
A194,0.867596204,32.68704678,2.153192126,6.9021,2174,0.164182604,0.413045401,0.064043867
A195,0.867596204,32.68704678,2.153192126,6.9021,2174,0.164182604,0.413045401,0.083433008
A196,1.042029443,45.28840449,2.817800045,7.3747,2492,0.128056526,0.386542552,0.077519721
A197,1.042029443,45.28840449,2.817800045,7.3747,2492,0.128056526,0.386542552,0.086550521
A198,1.042029443,45.28840449,2.817800045,7.3747,2492,0.128056526,0.386542552,0.077162962
A199,1.042029443,45.28840449,2.817800045,7.3747,2492,0.128056526,0.386542552,0.077857004
A200,1.042029443,45.28840449,2.817800045,7.3747,2492,0.128056526,0.386542552,0.107810729
A201,1.042029443,45.28840449,2.817800045,7.3747,2492,0.128056526,0.386542552,0.110781895
A202,0.870548683,56.90343263,2.518599853,7.1663,2163,0.217091322,0.410766194,0.117094448
A203,0.870548683,56.90343263,2.518599853,7.1663,2163,0.217091322,0.410766194,0.078421308
A204,0.870548683,56.90343263,2.518599853,7.1663,2163,0.217091322,0.410766194,0.058119585
A205,0.870548683,56.90343263,2.518599853,7.1663,2163,0.217091322,0.410766194,0.058058324
A206,0.870548683,56.90343263,2.518599853,7.1663,2163,0.217091322,0.410766194,0.053881115
A207,0.870548683,56.90343263,2.518599853,7.1663,2163,0.217091322,0.410766194,0.053208255
A208,0.870548683,56.90343263,2.518599853,7.1663,2163,0.217091322,0.410766194,0.08252213
A209,0.870548683,56.90343263,2.518599853,7.1663,2163,0.217091322,0.410766194,0.110660503
A210,0.870548683,56.90343263,2.518599853,7.1663,2163,0.217091322,0.410766194,0.1283412
A211,0.870548683,56.90343263,2.518599853,7.1663,2163,0.217091322,0.410766194,0.113692223
A212,0.870548683,56.90343263,2.518599853,7.1663,2163,0.217091322,0.410766194,0.109421898
A213,0.870548683,56.90343263,2.518599853,7.1663,2163,0.217091322,0.410766194,0.035652492
A214,0.870548683,56.90343263,2.518599853,7.1663,2163,0.217091322,0.410766194,0.029566168
A215,0.870548683,56.90343263,2.518599853,7.1663,2163,0.217091322,0.410766194,0.028730686
A216,0.870548683,56.90343263,2.518599853,7.1663,2163,0.217091322,0.410766194,0.014934014
A217,0.870548683,56.90343263,2.518599853,7.1663,2163,0.217091322,0.410766194,0.087104061
A218,0.870548683,56.90343263,2.518599853,7.1663,2163,0.217091322,0.410766194,0.12633146
A219,0.378068182,29.88820007,1.544600008,4.1663,1674,0.190917403,0.271163099,0.020277395
A220,0.378068182,29.88820007,1.544600008,4.1663,1674,0.190917403,0.271163099,0.014252037
A221,0.378068182,29.88820007,1.544600008,4.1663,1674,0.190917403,0.271163099,0.043682537
A222,0.378068182,29.88820007,1.544600008,4.1663,1674,0.190917403,0.271163099,0.063538778
A223,0.378068182,29.88820007,1.544600008,4.1663,1674,0.190917403,0.271163099,0.046954098
A224,0.378068182,29.88820007,1.544600008,4.1663,1674,0.190917403,0.271163099,0.073601823
A225,0.378068182,29.88820007,1.544600008,4.1663,1674,0.190917403,0.271163099,0.075043635
A226,0.378068182,29.88820007,1.544600008,4.1663,1674,0.190917403,0.271163099,0.088023027
A227,0.378068182,29.88820007,1.544600008,4.1663,1674,0.190917403,0.271163099,0.072916356
A228,0.378068182,29.88820007,1.544600008,4.1663,1674,0.190917403,0.271163099,0.065860326
A229,0.378068182,29.88820007,1.544600008,4.1663,1674,0.190917403,0.271163099,0.067002584
A230,0.378068182,29.88820007,1.544600008,4.1663,1674,0.190917403,0.271163099,0.072919183
A231,0.19909091,7.61621257,0.073799998,0.5302,261,0.026069552,0.053961128,0.054935117
A232,0.19909091,7.61621257,0.073799998,0.5302,261,0.026069552,0.053961128,0.077678561
A233,0.19909091,7.61621257,0.073799998,0.5302,261,0.026069552,0.053961128,0.036594463
A234,0.19909091,7.61621257,0.073799998,0.5302,261,0.026069552,0.053961128,0.019870297
A235,0.19909091,7.61621257,0.073799998,0.5302,261,0.026069552,0.053961128,0.10650373
A236,0.19909091,7.61621257,0.073799998,0.5302,261,0.026069552,0.053961128,0.0184168
A237,0.19909091,7.61621257,0.073799998,0.5302,261,0.026069552,0.053961128,0.125638977
A238,0.19909091,7.61621257,0.073799998,0.5302,261,0.026069552,0.053961128,0.030652399
A239,0.19909091,7.61621257,0.073799998,0.5302,261,0.026069552,0.053961128,0.062842245
A240,0.19909091,7.61621257,0.073799998,0.5302,261,0.026069552,0.053961128,0.03928289
A241,0.19909091,7.61621257,0.073799998,0.5302,261,0.026069552,0.053961128,0.119066306
A242,0.19909091,7.61621257,0.073799998,0.5302,261,0.026069552,0.053961128,0.08741151
A243,0.005795455,0.42825725,0.07290724,0.0042,0,0.041021734,0.000136553,0.05670666
A244,0.005795455,0.42825725,0.07290724,0.0042,0,0.041021734,0.000136553,0.048850298
A245,0.005795455,0.42825725,0.07290724,0.0042,0,0.041021734,0.000136553,0.032067511
A246,0.005795455,0.42825725,0.07290724,0.0042,0,0.041021734,0.000136553,0.017892488
A247,0.005795455,0.42825725,0.07290724,0.0042,0,0.041021734,0.000136553,0.046554227
A248,0.005795455,0.42825725,0.07290724,0.0042,0,0.041021734,0.000136553,0.034735854
A249,0.145454545,5.109995378,0.78060004,3.9663,30,0.049621731,0.067003923,0.035361585
A250,0.145454545,5.109995378,0.78060004,3.9663,30,0.049621731,0.067003923,0.035538523
A251,0.145454545,5.109995378,0.78060004,3.9663,30,0.049621731,0.067003923,0.037402028
A252,0.145454545,5.109995378,0.78060004,3.9663,30,0.049621731,0.067003923,0.35058947
A253,0.145454545,5.109995378,0.78060004,3.9663,30,0.049621731,0.067003923,0.387487935
A254,0.145454545,5.109995378,0.78060004,3.9663,30,0.049621731,0.067003923,0.358567585
A255,0.145454545,5.109995378,0.78060004,3.9663,30,0.049621731,0.067003923,0.306788462
A256,0.145454545,5.109995378,0.78060004,3.9663,30,0.049621731,0.067003923,0.398411082
A257,0.145454545,5.109995378,0.78060004,3.9663,30,0.049621731,0.067003923,0.390127189
A258,0.398347108,14.98800044,1.493999996,2.717,321,0.016204357,0.112104556,0.454717979
A259,0.398347108,14.98800044,1.493999996,2.717,321,0.016204357,0.112104556,0.076261427
A260,0.398347108,14.98800044,1.493999996,2.717,321,0.016204357,0.112104556,0.08701343
A261,0.398347108,14.98800044,1.493999996,2.717,321,0.016204357,0.112104556,0.080103708
A262,0.141505682,3.11299973,0.793800068,1.2503,965,0.040673911,0.120415932,0.106141243
A263,0.141505682,3.11299973,0.793800068,1.2503,965,0.040673911,0.120415932,0.097932935
A264,0.141505682,3.11299973,0.793800068,1.2503,965,0.040673911,0.120415932,0.068451985
A265,0.249659091,6.12472813,1.013454364,2.0567,371,0.042043477,0.054491569,0.005998191
A266,0.249659091,6.12472813,1.013454364,2.0567,371,0.042043477,0.054491569,0.010581527
A267,0.249659091,6.12472813,1.013454364,2.0567,371,0.042043477,0.054491569,0.00647181
A268,0.249659091,6.12472813,1.013454364,2.0567,371,0.042043477,0.054491569,0.005011204
A269,0.249659091,6.12472813,1.013454364,2.0567,371,0.042043477,0.054491569,0.013252962
A270,0.039319474,17.94996022,1.262440034,5.498,504,0.051934779,0.221062079,0.151091379
A271,0.039319474,17.94996022,1.262440034,5.498,504,0.051934779,0.221062079,0.142652216
A272,0.039319474,17.94996022,1.262440034,5.498,504,0.051934779,0.221062079,0.074717887
A273,0.486732955,12.15620016,0.15580004,2.933,297,0.13013044,0.168465721,0.029311119
A274,0.486732955,12.15620016,0.15580004,2.933,297,0.13013044,0.168465721,0.054897213
A275,0.486732955,12.15620016,0.15580004,2.933,297,0.13013044,0.168465721,0.056504382
A276,0.486732955,12.15620016,0.15580004,2.933,297,0.13013044,0.168465721,0.047109157
A277,0.486732955,12.15620016,0.15580004,2.933,297,0.13013044,0.168465721,0.038509844
A278,0,0,0,0,0,0,0,0.00949264
A279,0,0,0,0,0,0,0,0.013712602
A280,0,0,0,0,0,0,0,0.021757798
A281,0.071177686,3.5209996,1.048000014,0.227,73,0.096456528,0.175748879,0.008741
A282,0.071177686,3.5209996,1.048000014,0.227,73,0.096456528,0.175748879,0.026229937
A283,0.071177686,3.5209996,1.048000014,0.227,73,0.096456528,0.175748879,0.033012967
A284,0.071177686,3.5209996,1.048000014,0.227,73,0.096456528,0.175748879,0.004639878
A285,0.252380682,23.22608764,1.299000037,4.4891,1944,0.153082609,0.229835767,0.008152021
A286,0.252380682,23.22608764,1.299000037,4.4891,1944,0.153082609,0.229835767,0.010668567
A287,0.252380682,23.22608764,1.299000037,4.4891,1944,0.153082609,0.229835767,0.018531658
A288,0.252380682,23.22608764,1.299000037,4.4891,1944,0.153082609,0.229835767,0.094348396
A289,0.252380682,23.22608764,1.299000037,4.4891,1944,0.153082609,0.229835767,0.151662602
A290,0.252380682,23.22608764,1.299000037,4.4891,1944,0.153082609,0.229835767,0.000909335
A291,0.086549586,6.187000225,0.517799977,2.5966,427,0.111134775,0.029313878,0.153625287
A292,0.086549586,6.187000225,0.517799977,2.5966,427,0.111134775,0.029313878,0.249608807
A293,0.252380682,23.22608764,1.299000037,4.4891,1944,0.153082609,0.229835767,0.089781318
A294,0.086549586,6.187000225,0.517799977,2.5966,427,0.111134775,0.029313878,0.166847814
A295,0.086549586,6.187000225,0.517799977,2.5966,427,0.111134775,0.029313878,0.104043533
A296,0.086549586,6.187000225,0.517799977,2.5966,427,0.111134775,0.029313878,0.188138202
A297,0.086549586,6.187000225,0.517799977,2.5966,427,0.111134775,0.029313878,0.10873233
A298,0.086549586,6.187000225,0.517799977,2.5966,427,0.111134775,0.029313878,0.145839461
A299,0.086549586,6.187000225,0.517799977,2.5966,427,0.111134775,0.029313878,0.08929085
A300,0.086549586,6.187000225,0.517799977,2.5966,427,0.111134775,0.029313878,0.099329568
A301,0.086549586,6.187000225,0.517799977,2.5966,427,0.111134775,0.029313878,0.008407365
A302,0.086549586,6.187000225,0.517799977,2.5966,427,0.111134775,0.029313878,0.107823262
A303,0.086549586,6.187000225,0.517799977,2.5966,427,0.111134775,0.029313878,0.090451743
A304,0.252380682,23.22608764,1.299000037,4.4891,1944,0.153082609,0.229835767,0.093523287
A305,0.086549586,6.187000225,0.517799977,2.5966,427,0.111134775,0.029313878,0.128042971
